Front	Back	Tags
On-premises (on-prem)	Organization owns, operates, hosts all infrastructure. Full control, full responsibility. CapEx-heavy, slow to scale. <br><br><span style="color:#888">1.2.f.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
Cloud	Third-party-hosted infrastructure (AWS, Azure, GCP). Rented on demand. OpEx model, elastic scaling, shared responsibility. <br><br><span style="color:#888">1.2.f.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
CapEx vs OpEx	CapEx = Capital Expenditure (upfront hardware purchase, on-prem). OpEx = Operational Expenditure (pay-as-you-go, cloud). <br><br><span style="color:#888">1.2.f.3 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
IaaS	Infrastructure as a Service. Provider manages HW + virtualization. You manage OS, apps, data. Example: AWS EC2. <br><br><span style="color:#888">1.2.f.4 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
PaaS	Platform as a Service. Provider manages HW + OS + runtime. You manage app + data. Example: AWS Elastic Beanstalk. <br><br><span style="color:#888">1.2.f.5 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
SaaS	Software as a Service. Provider manages everything. You just use the app. Example: M365, Salesforce. <br><br><span style="color:#888">1.2.f.6 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
Shared responsibility model	Provider secures infrastructure; customer secures data, access, app config. Split varies by service model. <br><br><span style="color:#888">1.2.f.7 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.f weight_high
Hybrid cloud	Mix of on-prem + cloud. Sensitive workloads on-prem, elastic workloads in cloud. <br><br><span style="color:#888">1.2.f.8 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.f weight_med
Direct cloud connections	Dedicated links to cloud providers. AWS Direct Connect, Azure ExpressRoute, Google Cloud Interconnect. Bypass public internet. <br><br><span style="color:#888">1.2.f.9 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.f weight_med
Single-Mode Fiber (SMF)	8-10μm core. Laser transmitters. 100+ km. Yellow jacket. Used for long-haul WAN and campus building-to-building backbone. <br><br><span style="color:#888">1.3.a.1 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
Multimode Fiber (MMF)	50 or 62.5μm core. LED/VCSEL transmitters. Up to ~550m at 10G (OM3/OM4). Orange (OM1/OM2) or aqua (OM3/OM4) jacket. <br><br><span style="color:#888">1.3.a.2 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
Modal dispersion	Multiple light modes in MMF arrive at slightly different times → distance limit. Why MMF has shorter reach than SMF. <br><br><span style="color:#888">1.3.a.3 · weight: med</span>	ccna domain1 topic1.3 subtopic1.3.a weight_med
Fiber connectors	LC (Lucent, small form-factor, most common) and SC (Subscriber, square push-pull). Both used on SMF and MMF. <br><br><span style="color:#888">1.3.a.4 · weight: med</span>	ccna domain1 topic1.3 subtopic1.3.a weight_med
Cat5e	UTP copper. 1 Gbps at 100m max. Minimum standard for modern networks. <br><br><span style="color:#888">1.3.a.5 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
Cat6	UTP copper. 1 Gbps at 100m OR 10 Gbps at 55m max. Better shielding than Cat5e. <br><br><span style="color:#888">1.3.a.6 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
Cat6a	UTP copper. 10 Gbps at full 100m. Required for 10GBASE-T at max distance. <br><br><span style="color:#888">1.3.a.7 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
UTP 100m limit	Unshielded twisted pair copper tops out at 100 meters (328 ft) regardless of category. <br><br><span style="color:#888">1.3.a.8 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
SFP / SFP+ / QSFP+ / QSFP28	Hot-swappable transceivers. SFP=1G, SFP+=10G, QSFP+=40G, QSFP28=100G. Determines port's cable type. <br><br><span style="color:#888">1.3.a.9 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.a weight_high
Shared media Ethernet	Legacy hub-based or coax 10BASE2/5. All devices share one collision domain. Half-duplex only. <br><br><span style="color:#888">1.3.b.1 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Hub	L1 device that repeats signals to all ports. No MAC awareness. One collision domain total. Obsolete. <br><br><span style="color:#888">1.3.b.2 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Point-to-point Ethernet	Modern switched design. Each device has a dedicated link to its switch port. No collisions, full-duplex. <br><br><span style="color:#888">1.3.b.3 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Collision domain	Segment where simultaneous transmissions collide. Hub = 1 total. Switch = 1 PER PORT (micro-segmentation). <br><br><span style="color:#888">1.3.b.4 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
CSMA/CD	Carrier Sense Multiple Access with Collision Detection. Listen before transmit, detect collisions, random backoff. Needed only in half-duplex shared media. <br><br><span style="color:#888">1.3.b.5 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Half-duplex vs full-duplex	Half-duplex = one direction at a time (hub/shared). Full-duplex = both directions simultaneously (switched point-to-point). <br><br><span style="color:#888">1.3.b.6 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Micro-segmentation	Each switch port = its own collision domain. Key benefit of switched networks over hubs. <br><br><span style="color:#888">1.3.b.7 · weight: high</span>	ccna domain1 topic1.3 subtopic1.3.b weight_high
Collision	Two devices transmit on a shared collision domain at the same time; frames corrupt. Normal on half-duplex, never on full-duplex. <br><br><span style="color:#888">1.4.a.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
CSMA/CD	Carrier Sense Multiple Access with Collision Detection. Listen before transmit, detect collision, jam, random backoff, retry. <br><br><span style="color:#888">1.4.a.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
Slot time (64 bytes)	Collision window — collisions detected within the first 64 bytes are normal on half-duplex. Anything after 64 bytes is a late collision. <br><br><span style="color:#888">1.4.a.3 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
Late collision	Collision detected after 64 bytes. Always abnormal. #1 symptom of duplex mismatch. <br><br><span style="color:#888">1.4.a.4 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
Late collision causes	Duplex mismatch (most common), cable > 100m, faulty NIC. <br><br><span style="color:#888">1.4.a.5 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
Collisions on full-duplex	Should be zero. Nonzero = something broken (duplex mismatch or hardware). <br><br><span style="color:#888">1.4.a.6 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.a weight_high
CRC / FCS	Frame Check Sequence. 32-bit checksum appended to each Ethernet frame. Receiver recalculates and compares. <br><br><span style="color:#888">1.4.b.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.b weight_high
CRC error	FCS mismatch at receiver → frame discarded. Counter increments. Always a Layer 1 problem. <br><br><span style="color:#888">1.4.b.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.b weight_high
CRC error causes	Bad/damaged cable (#1), EMI, faulty NIC or port, duplex mismatch, dirty fiber connectors. <br><br><span style="color:#888">1.4.b.3 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.b weight_high
Input errors hierarchy	input errors = CRC + runts + giants + frame + overrun + ignored. Identify which sub-counter is rising. <br><br><span style="color:#888">1.4.b.4 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.b weight_high
Troubleshooting order (L1)	Replace cable → check EMI → different port → replace NIC → check duplex. Always bottom-up. <br><br><span style="color:#888">1.4.b.5 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.b weight_med
Ethernet minimum frame size	64 bytes. Anything smaller is a runt. Includes 14-byte header + 46-byte min payload + 4-byte FCS. <br><br><span style="color:#888">1.4.c.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.c weight_high
Ethernet maximum frame size	1518 bytes standard. 1522 bytes with a single 802.1Q tag. Anything larger is a giant. <br><br><span style="color:#888">1.4.c.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.c weight_high
Runt	Frame < 64 bytes. Collision fragment on half-duplex (normal). On full-duplex = duplex mismatch or bad NIC. <br><br><span style="color:#888">1.4.c.3 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.c weight_high
Giant	Frame > 1518 bytes (or > 1522 on trunk). Caused by MTU mismatch or faulty NIC. <br><br><span style="color:#888">1.4.c.4 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.c weight_high
Baby giant	Slightly over 1518 due to 802.1Q (1522), Q-in-Q (1526), or MPLS labels. Some switches accept via 'system mtu' config. <br><br><span style="color:#888">1.4.c.5 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.c weight_med
MTU mismatch	One side configured for jumbo (9000 bytes), other for standard 1518 → giants on the receiving side. <br><br><span style="color:#888">1.4.c.6 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.c weight_med
Input errors	Total count of all inbound frame problems (CRC + runts + giants + frame + overrun + ignored). <br><br><span style="color:#888">1.4.d.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.d weight_high
Output errors	Couldn't transmit a frame. Usually congestion (TX queue full). Often paired with output drops. <br><br><span style="color:#888">1.4.d.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.d weight_high
Output drops	Frames discarded from the output queue because it was full. Symptom of congestion. <br><br><span style="color:#888">1.4.d.3 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.d weight_med
Interface resets	Interface reinitialized. Causes: shut/no-shut, keepalive failure, cable unplug, link flap. <br><br><span style="color:#888">1.4.d.4 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.d weight_med
Carrier transitions	Count of down→up transitions. High = link flapping, usually a physical-layer problem. <br><br><span style="color:#888">1.4.d.5 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.d weight_high
Overrun / ignored	Input buffer overflowed or frames ignored because buffer was full. Switch is overwhelmed. <br><br><span style="color:#888">1.4.d.6 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.d weight_med
clear counters	Reset interface counters to zero. Use to measure error rates within a specific window. <br><br><span style="color:#888">1.4.d.7 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.d weight_med
Duplex mismatch	One side full-duplex, the other half-duplex. Link shows up/up but performance is terrible. <br><br><span style="color:#888">1.4.e.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.e weight_high
Half-duplex side symptoms	Late collisions + FCS errors. Full-duplex side transmits whenever it wants; half-duplex detects it as collisions. <br><br><span style="color:#888">1.4.e.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.e weight_high
Full-duplex side symptoms	CRC/FCS errors + runts. Collision-aborted frames from half-duplex side arrive as corrupted fragments. <br><br><span style="color:#888">1.4.e.3 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.e weight_high
Root cause (manual+auto)	One side manual, other auto. Auto can't negotiate — falls back to IEEE defaults → mismatch. <br><br><span style="color:#888">1.4.e.4 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.e weight_high
Fix	Both sides auto (preferred) OR both sides manually set to identical speed+duplex. <br><br><span style="color:#888">1.4.e.5 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.e weight_high
Detection commands	show interfaces status (fast scan), show interfaces [int] (error counters), show cdp neighbors detail (remote info). <br><br><span style="color:#888">1.4.e.6 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.e weight_med
Speed mismatch	Different speeds on each side. Link usually fails to come up at all (down/down). Easier to spot than duplex mismatch. <br><br><span style="color:#888">1.4.f.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.f weight_high
Auto-negotiation (IEEE 802.3u)	Two sides exchange capabilities and pick best common speed/duplex. Requires BOTH sides set to auto. <br><br><span style="color:#888">1.4.f.2 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.f weight_high
Parallel detection	When negotiation fails, auto side senses speed from electrical signal (usually correct). <br><br><span style="color:#888">1.4.f.3 · weight: med</span>	ccna domain1 topic1.4 subtopic1.4.f weight_med
IEEE fallback defaults	When negotiation fails: half-duplex for 10/100 Mbps, full-duplex for 1000 Mbps. Source of duplex mismatch. <br><br><span style="color:#888">1.4.f.4 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.f weight_high
Cisco best practice	Both sides auto-negotiate. If manual, match both sides exactly. Never one manual + one auto. <br><br><span style="color:#888">1.4.f.5 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.f weight_high
up/up	Both L1 and L2 operational. Interface working normally. Desired state. <br><br><span style="color:#888">1.4.g.1 · weight: high</span>	ccna domain1 topic1.4 subtopic1.4.g weight_high
